KILOMETRO 212,['7100']
LA ESTRELLA,"['7100', '7403']"
LA PROTECCION,['7112']
LAS VIBORAS,['7100']
LOMA DE SALOMON,['7100']
PARAJE LA VASCA,['7100']
PARRAVICHINI,['7100']
SEVIGNE,['7115']
TRES LEGUAS,['7100']
VECINO,['7118']
BASE NAVAL RIO SANTIAGO,['1929']
DESTILERIA FISCAL,['1925']
DOCK CENTRAL,['1925']
ENSENADA,"['1925', '1926']"
ESC NAV MILITAR RIO SANT,['1927']
FUERTE BARRAGAN,['1925']
GRAND DOCK,['1925']
ISLA SANTIAGO,['1929']
PUERTO LA PLATA,['1925']
PUNTA LARA,['1931']
ARROYO CANELON,['1625']
BARRIO EL CAZADOR,['1626']
BARRIO GARIN NORTE,['1623']
BARRIO PARQUE LAMBARE,['1623']
BELEN DE ESCOBAR,['1625']
CAMPOMAR VIÑEDO,['1625']
GARIN,['1619']
INGENIERO MASCHWITZ,['1623']
LA GRACIELITA,['1623']
LOMA VERDE,"['1628', '1981']"
MAQUINISTA F SAVIO,['1620']
MATHEU,['1627']
PUERTO DE ESCOBAR,['1625']
PUNTA DE CANAL,['1623']
VILLA LA CHECHELA,['1625']
VILLA VALLIER,['1625']
9 DE ABRIL,['1839']
CANNING,"['1801', '1807']"
EL JAGUEL,"['1805', '2707']"
LUIS GUILLON,['1838']
MONTE GRANDE,"['1841', '1842']"
ARROYO DE LA CRUZ,['2812']
CAMPO LA NENA,['2764']
CAPILLA DEL SEÑOR,['2812']
CARLOS LEMEE,['2812']
CHENAUT,['2764']
DIEGO GAYNOR,['2812']
ETCHEGOYEN,['6703']
EXALTACION DE LA CRUZ,['2812']
GOBERNADOR ANDONAEGHI,['2764']
KILOMETRO 102,['2763']
LA LATA,['2812']
LA ROSADA,['2812']
LOS CARDALES,['2814']
ORLANDO,['2812']
PARADA ROBLES,['6753']
PAVON,['2812']
VILLA PRECEPTOR M ROBLES,['2812']
VILLA PRECEPTOR MANUEL CRUZ,['6703']
AEROPUERTO EZEIZA,['1802']
CARLOS SPEGAZZINI,['1812']
EZEIZA,['1804']
LA UNION,"['1803', '7160']"
TRISTAN SUAREZ,['1806']
BOSQUES,['1889']
FLORENCIO VARELA,"['1887', '1888']"
GOBERNADOR COSTA,['1859']
INGENIERO ALLAN,['1891']
VILLA BROWN,['1892']
VILLA VATTEONE,['1853']
ZEBALLOS,['1863']
